Order_Date,Product,Category,Quantity,Price
01-02-2026,Mobile,Electronics,5,20838
01-02-2026,Headphones,Electronics,1,24192
01-02-2026,Mobile,Accessories,4,7020
01-02-2026,Headphones,Electronics,4,31473
01-02-2026,Laptop,Accessories,3,6051
01-02-2026,Laptop,Electronics,,15056
01-02-2026,Headphones,Electronics,4,18636
01-02-2026,Mobile,Electronics,1,48244
01-02-2026,Laptop,Electronics,,23373
01-02-2026,Mouse,Accessories,2,7278
01-02-2026,Mobile,Accessories,1,11586
01-02-2026,Mobile,Accessories,4,42319
01-02-2026,Mobile,,2,12236
01-02-2026,Laptop,Accessories,2,43279
01-02-2026,Mouse,Accessories,4,25685
01-02-2026,Mouse,Accessories,2,49021
01-02-2026,Mouse,Accessories,1,11550
01-02-2026,Headphones,Accessories,1,3519
01-02-2026,Keyboard,Electronics,,30847
01-02-2026,Keyboard,Electronics,1,32896
01-02-2026,Laptop,Electronics,2,20328
01-02-2026,Headphones,Accessories,2,6905
01-02-2026,Laptop,,2,44162
01-02-2026,Laptop,Electronics,2,34390
