Order_Date,Product,Category,Quantity,Price
2026-02-10,Keyboard,Accessories,5,8499
2026-02-10,Headphones,Accessories,5,28338
2026-02-10,Mobile,Accessories,2,19397
2026-02-10,Mobile,Electronics,5,42799
2026-02-10,Headphones,Electronics,5,36948
2026-02-10,Laptop,Electronics,2,9246
2026-02-10,Headphones,Accessories,1,47459
2026-02-10,Mobile,Electronics,2,6208
2026-02-10,Mouse,Electronics,1,592
2026-02-10,Mobile,Accessories,1,46113
2026-02-10,Headphones,Accessories,2,1582
2026-02-10,Headphones,Accessories,5,36866
2026-02-10,Headphones,Electronics,3,34966
2026-02-10,Headphones,Electronics,3,7814
2026-02-10,Mouse,Accessories,2,42955
2026-02-10,Keyboard,Accessories,1,37869
2026-02-10,Headphones,Accessories,3,6721
2026-02-10,Mobile,Electronics,5,28083
2026-02-10,Headphones,Electronics,5,6292
2026-02-10,Mouse,Accessories,4,35487
2026-02-10,Laptop,Accessories,4,7367
