Order_Date,Product,Category,Quantity,Price
02-02-2026,Mobile,Accessories,2,19340
02-02-2026,Keyboard,,5,553
02-02-2026,Headphones,Accessories,2,9067
02-02-2026,Mouse,Accessories,4,21246
02-02-2026,Laptop,Accessories,5,38074
02-02-2026,Laptop,Accessories,,33750
02-02-2026,Mobile,Electronics,5,23039
02-02-2026,Mobile,Electronics,2,9033
02-02-2026,Mobile,Accessories,2,7571
02-02-2026,Headphones,Accessories,4,48343
02-02-2026,Laptop,Electronics,1,
02-02-2026,Mouse,Electronics,1,12196
02-02-2026,Mobile,Electronics,1,17523
02-02-2026,Keyboard,Electronics,,932
02-02-2026,Mobile,,2,3342
02-02-2026,Laptop,Electronics,4,27954
02-02-2026,Laptop,Accessories,5,37392
02-02-2026,Mouse,Electronics,5,1238
02-02-2026,Mobile,Accessories,3,42311
02-02-2026,Keyboard,Electronics,1,26323
02-02-2026,Keyboard,Accessories,5,9218
02-02-2026,Mobile,Electronics,,
02-02-2026,Laptop,Accessories,5,15782
