Order_Date,Product,Category,Quantity,Price
2026-02-09,Mobile,Electronics,3,30404
2026-02-09,Mobile,Accessories,2,10307
2026-02-09,Keyboard,Electronics,1,5177
2026-02-09,Mouse,Electronics,3,31986
2026-02-09,Mobile,Accessories,2,35127
2026-02-09,Headphones,Accessories,4,1188
2026-02-09,Keyboard,Accessories,1,36701
2026-02-09,Mobile,Accessories,5,4170
2026-02-09,Laptop,Accessories,3,8982
2026-02-09,Keyboard,Accessories,1,41475
2026-02-09,Laptop,Accessories,5,37814
2026-02-09,Laptop,Accessories,5,45066
2026-02-09,Keyboard,Electronics,5,21226
2026-02-09,Headphones,Electronics,2,33685
2026-02-09,Headphones,Accessories,2,13380
2026-02-09,Headphones,Electronics,1,8442
2026-02-09,Mouse,Electronics,4,17485
2026-02-09,Keyboard,Electronics,1,3515
2026-02-09,Mouse,Electronics,3,42668
2026-02-09,Mobile,Accessories,2,23759
2026-02-09,Headphones,Electronics,2,24836
2026-02-09,Mobile,Electronics,2,34095
2026-02-09,Laptop,Electronics,4,24112
2026-02-09,Mobile,Accessories,3,29362
2026-02-09,Laptop,Accessories,3,26987
2026-02-09,Mobile,Electronics,2,32983
2026-02-09,Laptop,Electronics,3,9385
