Order_Date,Product,Category,Quantity,Price
07-02-2026,Laptop,Electronics,5,7915
07-02-2026,Mobile,Accessories,1,32120
07-02-2026,Headphones,Electronics,,38548
07-02-2026,Headphones,Accessories,4,15276
07-02-2026,Mobile,Electronics,3,42028
07-02-2026,Laptop,Electronics,2,12241
07-02-2026,Keyboard,Accessories,5,47896
07-02-2026,Laptop,Accessories,4,1133
07-02-2026,Laptop,Electronics,2,19679
07-02-2026,Mouse,,4,18042
07-02-2026,Mouse,Accessories,3,49254
07-02-2026,Keyboard,Electronics,1,3862
07-02-2026,Headphones,Electronics,2,44537
07-02-2026,Mouse,Electronics,3,
07-02-2026,Mobile,Electronics,3,2841
07-02-2026,Laptop,Electronics,2,15606
07-02-2026,Keyboard,Electronics,5,4608
07-02-2026,Mobile,Accessories,2,22310
07-02-2026,Laptop,Electronics,3,37433
07-02-2026,Keyboard,Accessories,2,48491
07-02-2026,Keyboard,Electronics,5,47996
07-02-2026,Laptop,Accessories,4,9697
07-02-2026,Mouse,Electronics,5,11263
07-02-2026,Laptop,Electronics,2,33789
07-02-2026,Mobile,Electronics,,47988
