Order_Date,Product,Category,Quantity,Price
2026-02-05,Mouse,Accessories,2,2495
2026-02-05,Keyboard,Electronics,2,37430
2026-02-05,Mouse,Accessories,1,10251
2026-02-05,Mobile,Accessories,1,43515
2026-02-05,Headphones,Electronics,1,44709
2026-02-05,Headphones,Accessories,2,6687
2026-02-05,Headphones,Accessories,3,33044
2026-02-05,Headphones,Accessories,5,14213
2026-02-05,Mobile,Electronics,1,48515
2026-02-05,Headphones,Accessories,3,11940
2026-02-05,Mouse,Accessories,1,14617
2026-02-05,Headphones,Accessories,5,29853
2026-02-05,Keyboard,Electronics,5,16683
2026-02-05,Headphones,Electronics,4,20311
2026-02-05,Laptop,Electronics,1,18775
2026-02-05,Headphones,Electronics,5,22204
2026-02-05,Laptop,Electronics,5,9664
2026-02-05,Laptop,Electronics,5,39733
2026-02-05,Keyboard,Electronics,2,21591
2026-02-05,Headphones,Electronics,5,37587
2026-02-05,Keyboard,Accessories,4,28966
2026-02-05,Laptop,Accessories,1,26225
2026-02-05,Laptop,Electronics,5,28945
2026-02-05,Mobile,Electronics,1,27099
