Order_Date,Product,Category,Quantity,Price
03-02-2026,Laptop,,5,29239
03-02-2026,Mouse,Electronics,2,16005
03-02-2026,Mobile,Accessories,4,9572
03-02-2026,Laptop,Electronics,3,39098
03-02-2026,Headphones,Accessories,4,47154
03-02-2026,Mouse,Electronics,3,
03-02-2026,Keyboard,Accessories,2,19875
03-02-2026,Headphones,Electronics,2,42997
03-02-2026,Keyboard,Electronics,4,9573
03-02-2026,Laptop,Electronics,3,38041
03-02-2026,Laptop,Electronics,4,49314
03-02-2026,Laptop,Accessories,4,40803
03-02-2026,Mobile,,4,45468
03-02-2026,Laptop,Accessories,5,48843
03-02-2026,Mouse,Electronics,2,5590
03-02-2026,Keyboard,Electronics,1,32443
03-02-2026,Mobile,Accessories,2,13050
03-02-2026,Headphones,Accessories,4,27370
03-02-2026,Mobile,Electronics,1,45059
03-02-2026,Headphones,Accessories,1,37078
03-02-2026,Headphones,Accessories,5,7986
03-02-2026,Headphones,Accessories,,20726
03-02-2026,Headphones,Accessories,1,
