Order_Date,Product,Category,Quantity,Price
2026-02-06,Mouse,Accessories,4,45753
2026-02-06,Mouse,Electronics,4,10809
2026-02-06,Headphones,Electronics,5,1233
2026-02-06,Headphones,Electronics,5,15180
2026-02-06,Laptop,Electronics,2,34720
2026-02-06,Mouse,Accessories,1,49744
2026-02-06,Laptop,Accessories,4,37988
2026-02-06,Laptop,Accessories,5,30660
2026-02-06,Mobile,Electronics,1,3669
2026-02-06,Mobile,Accessories,1,8321
2026-02-06,Laptop,Electronics,5,2882
2026-02-06,Mouse,Electronics,1,36310
2026-02-06,Headphones,Electronics,4,48186
2026-02-06,Mouse,Accessories,3,27748
2026-02-06,Keyboard,Accessories,1,18912
2026-02-06,Mobile,Accessories,1,43084
2026-02-06,Headphones,Accessories,2,5194
2026-02-06,Mobile,Accessories,5,49538
2026-02-06,Mobile,Electronics,2,10786
2026-02-06,Laptop,Electronics,4,23713
2026-02-06,Keyboard,Accessories,5,31173
2026-02-06,Headphones,Accessories,2,40949
2026-02-06,Mobile,Accessories,5,11131
2026-02-06,Mouse,Electronics,1,6104
2026-02-06,Headphones,Accessories,2,28675
